"Qty";"Value";"Device";"Package";"Parts";"Description";"FAB";"FAB-REF";"FARNELL";"MF";"MOUSER";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"LED-LUXEON-UV-U2";"LED-LUXEON-UV-U2";"VIOLET1";"0603 Rouge : Farnell 1685073";"";"";"";"";"";"";"";"";
"2";"";"ML10";"ML10";"J1, J2";"HARTING";"";"";"";"";"";"";"unknown";"unknown";
"1";"0.1";"R-EU_R1206";"R1206";"R10";"RESISTOR, European symbol";"";"";"1099913";"";"";"";"";"";
"1";"0.1";"R-EU_R1206";"R1206";"R6";"RESISTOR, European symbol";"";"";"1100335";"";"";"";"";"";
"1";"0.22";"R-EU_R1206";"R1206";"R4";"RESISTOR, European symbol";"";"";"2824735";"";"";"";"";"";
"1";"0.33";"R-EU_R1206";"R1206";"R2";"RESISTOR, European symbol";"";"";"2328126";"";"";"";"";"";
"4";"1.2k";"RR0805";"R0805";"R1, R3, R5, R9";"";"";"";"";"";"";"";"";"";
"4";"100n";"CC0603";"C0603";"C2, C9, C16, C33";"";"";"";"";"";"";"";"";"";
"4";"100n";"CC0805";"C0805";"C4, C10, C17, C34";"";"";"";"";"";"";"";"";"";
"1";"10µ";"L-MSS1038";"L-COILCRAFT-MSS1038";"L5";"";"";"";"2288225";"";"";"";"";"";
"1";"12µ";"L-MSS1038";"L-COILCRAFT-MSS1038";"L3";"";"";"";"2288210";"";"";"";"";"";
"1";"18µ";"L-MSS1038";"L-COILCRAFT-MSS1038";"L1";"";"";"";"2288206";"";"";"";"";"";
"1";"27µ";"L-MSS1038";"L-COILCRAFT-MSS1038";"L2";"";"";"";"2288208";"";"";"";"";"";
"4";"33n";"CC0603";"C0603";"C1, C8, C15, C32";"";"";"";"";"";"";"";"";"";
"24";"4.7µ";"C-EUC1210";"C1210";"C3, C5, C7, C11, C13, C14, C18, C20, C21, C29, C30, C31, C35, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"4.7µ";"CPOL-B";"CAP-TANT-B";"C6, C12, C19, C36";"";"";"";"";"";"";"";"";"";
"2";"CON-MICROFIT-1X2";"CON-MICROFIT-1X2";"MICROFIT-1X2";"J3, J4";"";"MOLEX";"43650-0228";"";"";"538-43650-0228";"";"";"";
"6";"LED-THERMAL-CREE-GP-G3";"LED-THERMAL-CREE-GP-G3";"LED-CREE-GP-G3";"BLEU1, BLEU2, BLEU3, BLEU4, BLEU5, BLEU6";"";"";"";"";"";"";"";"";"";
"6";"LED-THERMAL-LUMINU-SST-10-DR";"LED-THERMAL-LUMINU-SST-10-DR";"LED-LUMINU-SST-10-DR";"ROUGE1, ROUGE2, ROUGE3, ROUGE4, ROUGE5, ROUGE6";"";"";"";"";"";"";"";"";"";
"1";"LED-THERMAL-OSRAM-GW";"LED-THERMAL-OSRAM-GW";"LED-OSRAM-GW";"BLANC1";"";"";"";"";"";"";"";"";"";
"4";"TPS54201";"TPS54201";"SOT23-6";"IC1, IC2, IC3, IC5";"";"";"";"";"";"";"";"";"";
